bewerbungs_id;vorname;nachname;email;telefon;alter;bezirk;beruflicher_hintergrund;motivation_freitext;verfuegbarkeit;erfahrung_mit_jugendlichen;bevorzugte_themen;datenschutz_einwilligung;fuehrungszeugnis_status;bemerkung
B001;Meryem;Lange;meryem.lange46@posteo.de;0151-6035345;55;Mitte;IT-Berater;Ein Kollege hat mir davon erzählt, klang spannend.;flexibel;nein, aber Interesse;Persönliche Entwicklung;Ja;ausstehend;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B002;Til;Berger;til.berger@gmail.com;0151-3306824;56;Neukölln;kaufmännischer Angestellter;Ich glaube, jeder Jugendliche verdient jemanden, der zuhört.;wochentags abends;ja;Schule allgemein;ja;ausstehend;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B003;Yasmin;Braun;yasmin.braun@t-online.de;0151-3172136;54;Tempelhof-Schöneberg;Sozialarbeiter;Ich möchte meine Berufserfahrung weitergeben.;wochentags abends;etwas;Technik/IT;offen;beantragt;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B004;Ronja;Peters;ronjapeters@gmx.de;0179-6086261;47;Marzahn-Hellersdorf;Selbstständiger Handwerker;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;wochentags abends;nein, aber Interesse;offen für alles;nein;eingereicht - abgelaufen;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B005;Mustafa;Polat;mustafa.polat@posteo.de;0151-5240711;41;Lichtenberg;Ingenieurin i.R.;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;Wochenende;nein, aber Interesse;Sprache;Ja;eingereicht - abgelaufen;Hat keine Referenzen angegeben, nachfordern.
B006;Nele;Petrov;nele.petrov@gmail.com;0179-6638029;67;Lichtenberg;Krankenschwester i.R.;War selbst Geflüchteter und weiß, wie schwer der Einstieg ins Berufsleben ist.;nur Dienstag & Donnerstag;nein;Technik/IT;Ja;eingereicht;Wirkte sehr auf Nähe bedacht, im Interview genauer beobachten.
B007;Klaus;Kowalski;klauskowalski@t-online.de;0151-8248710;39;Friedrichshain-Kreuzberg;Physiotherapeutin i.R.;Fühle mich seit dem Auszug der eigenen Kinder manchmal einsam, suche neue soziale Kontakte.;unregelmäßig, Schicht;ja, beruflich;offen für alles;J;eingereicht;
B008;Aylin;Ozturk;aylin.ozturk@t-online.de;0176-7086594;49;Pankow;Selbstständiger Handwerker;Ich möchte meine Berufserfahrung weitergeben.;wochentags abends;ja;offen für alles;J;beantragt;
B009;Klaus;Osei;klaus.osei81@gmail.com;0176-9797056;53;Marzahn-Hellersdorf;Lehrerin i.R.;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;wochentags abends;ja, beruflich;Bewerbung/Beruf;J;eingereicht - abgelaufen;Hat keine Referenzen angegeben, nachfordern.
B010;Simon;Costa;simon.costa10@posteo.de;0176-3492991;24;Tempelhof-Schöneberg;Verwaltungsangestellter;Wollte schon lange ehrenamtlich tätig sein, hatte aber nie Zeit.;wochentags abends;nein, aber Interesse;Technik/IT;offen;nicht vorhanden;Hat keine Referenzen angegeben, nachfordern.
B011;David;Lorenz;david.lorenz23@gmx.de;0160-7551977;34;Steglitz-Zehlendorf;kaufmännischer Angestellter;Ein Kollege hat mir davon erzählt, klang spannend.;unregelmäßig, Schicht;nein, aber Interesse;Technik/IT;J;eingereicht - abgelaufen;
B012;Yasmin;Osei;yasmin.osei16@t-online.de;0176-8941772;52;Neukölln;Verwaltungsangestellter;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;flexibel;nein, aber Interesse;Persönliche Entwicklung;Ja;eingereicht;Hat keine Referenzen angegeben, nachfordern.
B013;Hans;Andrade;hansandrade@t-online.de;0170-6880405;59;Friedrichshain-Kreuzberg;Selbstständiger Handwerker;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;flexibel;nein, aber Interesse;Schule allgemein;nein;eingereicht - abgelaufen;
B014;Moritz;Zimmermann;moritz.zimmermann@web.de;0179-8216896;47;Pankow;Bankkaufmann i.R.;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;Wochenende;ja, beruflich;Technik/IT;J;nicht vorhanden;Erwähnte im Gespräch frühere Konflikte mit Jugendamt - genauer nachfragen.
B015;Yasmin;Koc;yasminkoch33@gmx.de;0170-6472601;51;Marzahn-Hellersdorf;IT-Berater;Seit der Rente suche ich eine sinnvolle Aufgabe mit Kontakt zu jungen Menschen.;nur Dienstag & Donnerstag;ja, beruflich;offen für alles;ja;eingereicht - abgelaufen;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
B016;Timur;Rossi;timur.rossi@gmail.com;0151-6344892;53;Neukölln;Ingenieur;Habe selbst als Jugendlicher Unterstützung gebraucht und weiß, wie wichtig das ist.;wochentags abends;nein, aber Interesse;Persönliche Entwicklung;Ja;eingereicht - abgelaufen;Bewerber möchte ausschließlich 1:1-Treffen bei sich zu Hause - kritisch prüfen.
