mentor_id;name;anwesend;uhrzeit_ankunft;unterschrift_vorhanden;bemerkung
M035;Moritz Fischer;ja;09:00;ja;kam etwas später
M033;Elif Berger;ja;09:35;ja;
M063;Greta Hassan;ja;09:00;ja;krank gemeldet, Kollegin informiert
M065;Meryem Klein;ja;09:35;ja;kam etwas später
M031;Melek Schuster;ja;10:05;ja;
M020;Greta Berger;ja;09:35;ja;
M028;Serkan Kilic;ja;09:35;nein;krank gemeldet, Kollegin informiert
M025;Paul Klein;ja;10:05;nein;musste früher gehen
M070;Rania Ahmadi;ja;09:10;ja;kam etwas später
M004;Ronja Peters;verspätet;09:20;ja;
M003;Yasmin Braun;ja;09:20;ja;krank gemeldet, Kollegin informiert
M052;Amira Kaya;ja;09:10;ja;
M068;Aylin Bergmann;ja;09:05;ja;
M040;Ecrin Hassan;ja;09:35;ja;musste früher gehen
M037;Yusuf Winkler;ja;09:10;ja;krank gemeldet, Kollegin informiert
M019;Aylin Nowak;ja;09:35;nein;musste früher gehen
M015;Yasmin Koch;ja;10:05;nein;kam etwas später
M067;Noah Weber;ja;09:20;ja;
M006;Nele Petrov;ja;09:00;ja;musste früher gehen
M023;Melek Neumann;ja;09:20;ja;krank gemeldet, Kollegin informiert
M036;Timur Schuster;ja;09:05;ja;
M073;Serkan Neumann;ja;09:00;ja;
M046;Rosemarie Ivanov;ja;09:20;ja;
M002;Til Berger;ja;09:05;ja;
M001;Meryem Lange;ja;09:35;ja;musste früher gehen
M056;Karin Kaya;ja;09:00;nein;kam etwas später
M069;Ayse Hoffmann;ja;10:05;ja;
M038;Yusuf Costa;ja;09:00;ja;
M047;Paula Hoffmann;ja;09:05;ja;kam etwas später
M060;Laura Meyer;ja;09:20;ja;krank gemeldet, Kollegin informiert
M045;Leyla Klein;ja;09:00;ja;kam etwas später
M039;Elif Ozturk;ja;09:35;ja;
M044;Berkay Schneider;ja;09:35;ja;musste früher gehen
M075;Zeynep Weber;ja;09:20;ja;krank gemeldet, Kollegin informiert
M029;Rosemarie Demir;ja;09:20;ja;kam etwas später
M061;Talia Dogan;ja;09:10;ja;
M022;Enes Klein;ja;09:05;ja;
M074;Enes Arslan;ja;09:10;ja;musste früher gehen
M043;Sude Hassan;ja;09:00;ja;musste früher gehen
M055;Simon Osei;ja;09:05;ja;
M053;Felix Weber;ja;09:10;nein;
M014;Moritz Zimmermann ;ja;09:35;nein;krank gemeldet, Kollegin informiert
M012;Yasmin Osei;ja;09:35;ja;
M051;Ingrid Wolf;ja;09:20;ja;
M048;Sophie Fischer ;ja;09:10;ja;kam etwas später
M059;Emre Zimmermann;ja;09:10;ja;
M005;Mustafa Polat;ja;09:00;ja;
M041;Nora Meyer;ja;09:35;ja;
M018;Paula Becker;ja;09:00;ja;kam etwas später
M058;Fatima Winkler;ja;09:10;ja;
M007;Klaus Kowalski;ja;09:20;nein;kam etwas später
M071;Manfred Lange;ja;09:00;ja;krank gemeldet, Kollegin informiert
M064;Noah Polat;ja;09:00;nein;
M066;Zeynep Aksoy;ja;09:05;ja;
M017;Ursula Bergmann;ja;09:10;ja;musste früher gehen
